,const,linear_drift,scene_boxcar,scene_hrf
0.0,1.0,-1.0,1.0,0.0
1.0,1.0,-0.9990946129470348,1.0,3.517579020598222e-11
2.0,1.0,-0.9981892258940697,1.0,0.004498217331729651
3.0,1.0,-0.9972838388411046,1.0,0.07105128388641582
4.0,1.0,-0.9963784517881394,1.0,0.2752137781353675
5.0,1.0,-0.9954730647351743,1.0,0.6001635504883386
6.0,1.0,-0.9945676776822091,1.0,0.9568594777375395
7.0,1.0,-0.993662290629244,1.0,1.2582601403055065
8.0,1.0,-0.9927569035762789,1.0,1.4576162165559468
9.0,1.0,-0.9918515165233137,1.0,1.5485709462234536
10.0,1.0,-0.9909461294703485,1.0,1.5504475470688206
11.0,1.0,-0.9900407424173834,1.0,1.4931082062966077
12.0,1.0,-0.9891353553644183,1.0,1.4060708926641758
13.0,1.0,-0.9882299683114532,1.0,1.3124670821013138
14.0,1.0,-0.987324581258488,1.0,1.2270590581985625
15.0,1.0,-0.9864191942055228,1.0,1.1569944670428836
16.0,1.0,-0.9855138071525578,1.0,1.103885912161946
17.0,1.0,-0.9846084200995926,1.0,1.0660969971947978
18.0,1.0,-0.9837030330466274,1.0,1.04059224726336
19.0,1.0,-0.9827976459936623,1.0,1.024141641926752
20.0,1.0,-0.9818922589406971,1.0,1.0139435033434574
21.0,1.0,-0.980986871887732,1.0,1.0078396744243987
22.0,1.0,-0.9800814848347669,1.0,1.0042994390465931
23.0,1.0,-0.9791760977818017,1.0,1.002303479228654
24.0,1.0,-0.9782707107288365,1.0,1.001206747767553
25.0,1.0,-0.9773653236758715,1.0,1.0006180980362542
26.0,1.0,-0.9764599366229063,1.0,1.000308874685697
27.0,1.0,-0.9755545495699411,1.0,1.00014962037378
28.0,1.0,-0.974649162516976,1.0,1.0000690879642506
29.0,1.0,-0.9737437754640108,1.0,1.0000290479953222
30.0,1.0,-0.9728383884110458,1.0,1.00000945141189
31.0,1.0,-0.9719330013580806,1.0,1.0
32.0,1.0,-0.9710276143051154,1.0,1.0
33.0,1.0,-0.9701222272521502,1.0,1.0
34.0,1.0,-0.9692168401991852,1.0,1.0
35.0,1.0,-0.96831145314622,1.0,1.0
36.0,1.0,-0.9674060660932549,1.0,1.0
37.0,1.0,-0.9665006790402897,1.0,1.0
38.0,1.0,-0.9655952919873246,1.0,1.0
39.0,1.0,-0.9646899049343595,1.0,1.0
40.0,1.0,-0.9637845178813943,1.0,1.0
41.0,1.0,-0.9628791308284291,1.0,1.0
42.0,1.0,-0.961973743775464,1.0,1.0
43.0,1.0,-0.9610683567224989,1.0,1.0
44.0,1.0,-0.9601629696695337,1.0,1.0
45.0,1.0,-0.9592575826165686,1.0,1.0
46.0,1.0,-0.9583521955636034,1.0,1.0
47.0,1.0,-0.9574468085106383,1.0,1.0
48.0,1.0,-0.9565414214576732,1.0,1.0
49.0,1.0,-0.955636034404708,1.0,1.0
50.0,1.0,-0.9547306473517428,1.0,1.0
51.0,1.0,-0.9538252602987777,1.0,1.0
52.0,1.0,-0.9529198732458126,1.0,1.0
53.0,1.0,-0.9520144861928475,1.0,1.0
54.0,1.0,-0.9511090991398823,1.0,1.0
55.0,1.0,-0.9502037120869171,1.0,1.0
56.0,1.0,-0.9492983250339521,1.0,1.0
57.0,1.0,-0.9483929379809869,1.0,1.0
58.0,1.0,-0.9474875509280217,1.0,1.0
59.0,1.0,-0.9465821638750566,1.0,1.0
60.0,1.0,-0.9456767768220915,1.0,1.0
61.0,1.0,-0.9447713897691263,1.0,1.0
62.0,1.0,-0.9438660027161612,1.0,1.0
63.0,1.0,-0.942960615663196,1.0,1.0
64.0,1.0,-0.9420552286102308,1.0,1.0
65.0,1.0,-0.9411498415572658,1.0,1.0
66.0,1.0,-0.9402444545043006,1.0,1.0
67.0,1.0,-0.9393390674513354,1.0,1.0
68.0,1.0,-0.9384336803983703,1.0,1.0
69.0,1.0,-0.9375282933454052,1.0,1.0
70.0,1.0,-0.93662290629244,1.0,1.0
71.0,1.0,-0.9357175192394749,1.0,1.0
72.0,1.0,-0.9348121321865097,1.0,1.0
73.0,1.0,-0.9339067451335445,1.0,1.0
74.0,1.0,-0.9330013580805795,1.0,1.0
75.0,1.0,-0.9320959710276143,1.0,1.0
76.0,1.0,-0.9311905839746492,1.0,1.0
77.0,1.0,-0.930285196921684,1.0,1.0
78.0,1.0,-0.9293798098687189,1.0,1.0
79.0,1.0,-0.9284744228157538,1.0,1.0
80.0,1.0,-0.9275690357627886,1.0,1.0
81.0,1.0,-0.9266636487098234,1.0,1.0
82.0,1.0,-0.9257582616568583,1.0,1.0
83.0,1.0,-0.9248528746038932,1.0,1.0
84.0,1.0,-0.923947487550928,1.0,1.0
85.0,1.0,-0.9230421004979629,1.0,1.0
86.0,1.0,-0.9221367134449977,1.0,1.0
87.0,1.0,-0.9212313263920326,1.0,1.0
88.0,1.0,-0.9203259393390675,1.0,1.0
89.0,1.0,-0.9194205522861023,1.0,1.0
90.0,1.0,-0.9185151652331371,1.0,1.0
91.0,1.0,-0.917609778180172,1.0,1.0
