subject,ROI,mean_z
sub-001,Frontal Pole,-0.021413851222795644
sub-001,Insular Cortex,-0.08343466808565962
sub-001,Superior Frontal Gyrus,0.0024561134108273563
sub-001,Middle Frontal Gyrus,0.0013320671829993842
sub-001,"Inferior Frontal Gyrus, pars triangularis",0.016990823520427818
sub-001,"Inferior Frontal Gyrus, pars opercularis",0.1102710041903607
sub-001,Precentral Gyrus,-0.21488454524212214
sub-001,Temporal Pole,-0.01386081908147967
sub-001,"Superior Temporal Gyrus, anterior division",-0.06083380987861502
sub-001,"Superior Temporal Gyrus, posterior division",-0.035335974940609645
sub-001,"Middle Temporal Gyrus, anterior division",-0.0010048348504217229
sub-001,"Middle Temporal Gyrus, posterior division",-0.009134261932080874
sub-001,"Middle Temporal Gyrus, temporooccipital part",0.0038571119222403465
sub-001,"Inferior Temporal Gyrus, anterior division",0.0
sub-001,"Inferior Temporal Gyrus, posterior division",-0.010291766618468359
sub-001,"Inferior Temporal Gyrus, temporooccipital part",0.0
sub-001,Postcentral Gyrus,-0.45052449943463035
sub-001,Superior Parietal Lobule,-0.24888090310565986
sub-001,"Supramarginal Gyrus, anterior division",-0.2449738852478636
sub-001,"Supramarginal Gyrus, posterior division",-0.0770967298882185
sub-001,Angular Gyrus,-0.006625063678622449
sub-001,"Lateral Occipital Cortex, superior division",-0.00027233336957837114
sub-001,"Lateral Occipital Cortex, inferior division",0.0
sub-001,Intracalcarine Cortex,-0.06424120365779012
sub-001,Frontal Medial Cortex,0.0
sub-001,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.019280677866392273
sub-001,Subcallosal Cortex,-0.06774039311844175
sub-001,Paracingulate Gyrus,-0.2778820595006373
sub-001,"Cingulate Gyrus, anterior division",-0.0773676558873452
sub-001,"Cingulate Gyrus, posterior division",-0.016802091340650745
sub-001,Precuneous Cortex,-0.10222027620402645
sub-001,Cuneal Cortex,0.0
sub-001,Frontal Orbital Cortex,-0.04253295181245999
sub-001,"Parahippocampal Gyrus, anterior division",-0.11856675694311498
sub-001,"Parahippocampal Gyrus, posterior division",-0.1492443206264445
sub-001,Lingual Gyrus,-0.08749943412541923
sub-001,"Temporal Fusiform Cortex, anterior division",-0.015123872098186714
sub-001,"Temporal Fusiform Cortex, posterior division",-0.20107638439422976
sub-001,Temporal Occipital Fusiform Cortex,-0.004502355456509457
sub-001,Occipital Fusiform Gyrus,0.0
sub-001,Frontal Opercular Cortex,-0.1930040822016303
sub-001,Central Opercular Cortex,-0.29786877519537996
sub-001,Parietal Opercular Cortex,-0.1339236960848427
sub-001,Planum Polare,-0.11177189723258135
sub-001,Heschl's Gyrus (includes H1 and H2),-0.06386271041528108
sub-001,Planum Temporale,-0.15823312393686823
sub-001,Supracalcarine Cortex,-0.10870864525194471
sub-001,Occipital Pole,
sub-002,Frontal Pole,0.042596279792568026
