,const,linear_drift,music_boxcar,music_hrf
0.0,1.0,-1.0,1.0,0.0
1.5,1.0,-0.9951100244498777,1.0,3.078668608694226e-08
3.0,1.0,-0.9902200488997555,1.0,0.04884532298097183
4.5,1.0,-0.9853300733496333,1.0,0.40259597344561426
6.0,1.0,-0.980440097799511,1.0,0.9572341532502957
7.5,1.0,-0.9755501222493888,1.0,1.3866695981116632
9.0,1.0,-0.9706601466992665,1.0,1.557249537959504
10.5,1.0,-0.9657701711491442,1.0,1.5209671263722564
12.0,1.0,-0.960880195599022,1.0,1.3883559689514673
13.5,1.0,-0.9559902200488998,1.0,1.2470863869340485
15.0,1.0,-0.9511002444987775,1.0,1.1388719690736184
16.5,1.0,-0.9462102689486552,1.0,1.070474998555795
18.0,1.0,-0.941320293398533,1.0,1.0328062799034636
19.5,1.0,-0.9364303178484108,1.0,1.0141781542965635
21.0,1.0,-0.9315403422982885,1.0,1.0057424407579727
22.5,1.0,-0.9266503667481663,1.0,1.0021947187569142
24.0,1.0,-0.921760391198044,1.0,1.0007942034388004
25.5,1.0,-0.9168704156479217,1.0,1.0002708659762023
27.0,1.0,-0.9119804400977995,1.0,1.0000844984206412
28.5,1.0,-0.9070904645476773,1.0,1.0000208969716065
30.0,1.0,-0.902200488997555,1.0,1.0000000000000002
31.5,1.0,-0.8973105134474327,1.0,1.0000000000000002
33.0,1.0,-0.8924205378973105,1.0,1.0000000000000002
34.5,1.0,-0.8875305623471883,1.0,1.0000000000000002
36.0,1.0,-0.882640586797066,1.0,1.0000000000000002
37.5,1.0,-0.8777506112469438,1.0,1.0000000000000002
39.0,1.0,-0.8728606356968215,1.0,1.0000000000000002
40.5,1.0,-0.8679706601466992,1.0,1.0000000000000002
42.0,1.0,-0.863080684596577,1.0,1.0000000000000002
43.5,1.0,-0.8581907090464548,1.0,1.0000000000000002
45.0,1.0,-0.8533007334963325,1.0,1.0000000000000002
46.5,1.0,-0.8484107579462102,1.0,1.0000000000000002
48.0,1.0,-0.843520782396088,1.0,1.0000000000000002
49.5,1.0,-0.8386308068459658,1.0,1.0000000000000002
51.0,1.0,-0.8337408312958435,1.0,1.0000000000000002
52.5,1.0,-0.8288508557457213,1.0,1.0000000000000002
54.0,1.0,-0.823960880195599,1.0,1.0000000000000002
55.5,1.0,-0.8190709046454767,1.0,1.0000000000000002
57.0,1.0,-0.8141809290953546,1.0,1.0000000000000002
58.5,1.0,-0.8092909535452323,1.0,1.0000000000000002
60.0,1.0,-0.80440097799511,1.0,1.0000000000000002
61.5,1.0,-0.7995110024449877,1.0,1.0000000000000002
63.0,1.0,-0.7946210268948655,1.0,1.0000000000000002
64.5,1.0,-0.7897310513447433,1.0,1.0000000000000002
66.0,1.0,-0.784841075794621,1.0,1.0000000000000002
67.5,1.0,-0.7799511002444988,1.0,1.0000000000000002
69.0,1.0,-0.7750611246943765,1.0,1.0000000000000002
70.5,1.0,-0.7701711491442542,1.0,1.0000000000000002
72.0,1.0,-0.7652811735941321,1.0,1.0000000000000002
73.5,1.0,-0.7603911980440098,1.0,1.0000000000000002
75.0,1.0,-0.7555012224938875,1.0,1.0000000000000002
76.5,1.0,-0.7506112469437652,1.0,1.0000000000000002
78.0,1.0,-0.745721271393643,1.0,1.0000000000000002
79.5,1.0,-0.7408312958435208,1.0,1.0000000000000002
81.0,1.0,-0.7359413202933985,1.0,1.0000000000000002
82.5,1.0,-0.7310513447432763,1.0,1.0000000000000002
84.0,1.0,-0.7261613691931541,1.0,1.0000000000000002
85.5,1.0,-0.7212713936430317,1.0,1.0000000000000002
87.0,1.0,-0.7163814180929096,1.0,1.0000000000000002
88.5,1.0,-0.7114914425427873,1.0,1.0000000000000002
90.0,1.0,-0.706601466992665,1.0,1.0000000000000002
91.5,1.0,-0.7017114914425429,1.0,1.0000000000000002
93.0,1.0,-0.6968215158924205,1.0,1.0000000000000002
94.5,1.0,-0.6919315403422983,1.0,1.0000000000000002
96.0,1.0,-0.687041564792176,1.0,1.0000000000000002
97.5,1.0,-0.6821515892420538,1.0,1.0000000000000002
99.0,1.0,-0.6772616136919316,1.0,1.0000000000000002
100.5,1.0,-0.6723716381418092,1.0,1.0000000000000002
102.0,1.0,-0.6674816625916871,1.0,1.0000000000000002
103.5,1.0,-0.6625916870415648,1.0,1.0000000000000002
105.0,1.0,-0.6577017114914425,1.0,1.0000000000000002
106.5,1.0,-0.6528117359413204,1.0,1.0000000000000002
108.0,1.0,-0.647921760391198,1.0,1.0000000000000002
109.5,1.0,-0.6430317848410758,1.0,1.0000000000000002
111.0,1.0,-0.6381418092909535,1.0,1.0000000000000002
112.5,1.0,-0.6332518337408313,1.0,1.0000000000000002
114.0,1.0,-0.6283618581907091,1.0,1.0000000000000002
115.5,1.0,-0.6234718826405867,1.0,1.0000000000000002
117.0,1.0,-0.6185819070904646,1.0,1.0000000000000002
118.5,1.0,-0.6136919315403423,1.0,1.0000000000000002
120.0,1.0,-0.60880195599022,1.0,1.0000000000000002
121.5,1.0,-0.6039119804400979,1.0,1.0000000000000002
123.0,1.0,-0.5990220048899755,1.0,1.0000000000000002
124.5,1.0,-0.5941320293398533,1.0,1.0000000000000002
126.0,1.0,-0.589242053789731,1.0,1.0000000000000002
127.5,1.0,-0.5843520782396088,1.0,1.0000000000000002
129.0,1.0,-0.5794621026894866,1.0,1.0000000000000002
130.5,1.0,-0.5745721271393642,1.0,1.0000000000000002
132.0,1.0,-0.5696821515892421,1.0,1.0000000000000002
133.5,1.0,-0.5647921760391198,1.0,1.0000000000000002
135.0,1.0,-0.5599022004889975,1.0,1.0000000000000002
136.5,1.0,-0.5550122249388754,1.0,1.0000000000000002
138.0,1.0,-0.550122249388753,1.0,1.0000000000000002
139.5,1.0,-0.5452322738386308,1.0,1.0000000000000002
141.0,1.0,-0.5403422982885085,1.0,1.0000000000000002
142.5,1.0,-0.5354523227383863,1.0,1.0000000000000002
144.0,1.0,-0.5305623471882641,1.0,1.0000000000000002
145.5,1.0,-0.5256723716381417,1.0,1.0000000000000002
147.0,1.0,-0.5207823960880196,1.0,1.0000000000000002
148.5,1.0,-0.5158924205378973,1.0,1.0000000000000002
150.0,1.0,-0.511002444987775,1.0,1.0000000000000002
151.5,1.0,-0.5061124694376529,1.0,1.0000000000000002
153.0,1.0,-0.5012224938875305,1.0,1.0000000000000002
154.5,1.0,-0.4963325183374083,1.0,1.0000000000000002
156.0,1.0,-0.49144254278728605,1.0,1.0000000000000002
157.5,1.0,-0.4865525672371638,1.0,1.0000000000000002
159.0,1.0,-0.4816625916870416,1.0,1.0000000000000002
160.5,1.0,-0.47677261613691935,1.0,1.0000000000000002
162.0,1.0,-0.4718826405867971,1.0,1.0000000000000002
163.5,1.0,-0.4669926650366748,1.0,1.0000000000000002
165.0,1.0,-0.46210268948655253,1.0,1.0000000000000002
166.5,1.0,-0.45721271393643037,1.0,1.0000000000000002
168.0,1.0,-0.4523227383863081,1.0,1.0000000000000002
169.5,1.0,-0.4474327628361858,1.0,1.0000000000000002
171.0,1.0,-0.44254278728606355,1.0,1.0000000000000002
172.5,1.0,-0.4376528117359413,1.0,1.0000000000000002
174.0,1.0,-0.4327628361858191,1.0,1.0000000000000002
175.5,1.0,-0.42787286063569685,1.0,1.0000000000000002
177.0,1.0,-0.4229828850855746,1.0,1.0000000000000002
178.5,1.0,-0.4180929095354523,1.0,1.0000000000000002
180.0,1.0,-0.41320293398533003,1.0,1.0000000000000002
181.5,1.0,-0.4083129584352079,1.0,1.0000000000000002
183.0,1.0,-0.4034229828850856,1.0,1.0000000000000002
184.5,1.0,-0.39853300733496333,1.0,1.0000000000000002
186.0,1.0,-0.39364303178484106,1.0,1.0000000000000002
187.5,1.0,-0.3887530562347188,1.0,1.0000000000000002
189.0,1.0,-0.3838630806845966,1.0,1.0000000000000002
190.5,1.0,-0.37897310513447435,1.0,1.0000000000000002
192.0,1.0,-0.3740831295843521,1.0,1.0000000000000002
193.5,1.0,-0.3691931540342298,1.0,1.0000000000000002
195.0,1.0,-0.36430317848410754,1.0,1.0000000000000002
196.5,1.0,-0.3594132029339854,1.0,1.0000000000000002
198.0,1.0,-0.3545232273838631,1.0,1.0000000000000002
199.5,1.0,-0.34963325183374083,1.0,1.0000000000000002
201.0,1.0,-0.34474327628361856,1.0,1.0000000000000002
202.5,1.0,-0.3398533007334963,1.0,1.0000000000000002
204.0,1.0,-0.3349633251833741,1.0,1.0000000000000002
205.5,1.0,-0.33007334963325186,1.0,1.0000000000000002
207.0,1.0,-0.3251833740831296,1.0,1.0000000000000002
208.5,1.0,-0.3202933985330073,1.0,1.0000000000000002
210.0,1.0,-0.31540342298288504,1.0,1.0000000000000002
211.5,1.0,-0.3105134474327629,1.0,1.0000000000000002
213.0,1.0,-0.3056234718826406,1.0,1.0000000000000002
214.5,1.0,-0.30073349633251834,1.0,1.0000000000000002
216.0,1.0,-0.29584352078239606,1.0,1.0000000000000002
217.5,1.0,-0.2909535452322738,1.0,1.0000000000000002
