,const,linear_drift,scene_boxcar,scene_hrf
0.0,1.0,-1.0,1.0,0.0
1.0,1.0,-0.9990954319312528,1.0,3.517579020598222e-11
2.0,1.0,-0.9981908638625057,1.0,0.004498217331729651
3.0,1.0,-0.9972862957937585,1.0,0.07105128388641582
4.0,1.0,-0.9963817277250113,1.0,0.2752137781353675
5.0,1.0,-0.9954771596562642,1.0,0.6001635504883386
6.0,1.0,-0.994572591587517,1.0,0.9568594777375395
7.0,1.0,-0.9936680235187698,1.0,1.2582601403055065
8.0,1.0,-0.9927634554500226,1.0,1.4576162165559468
9.0,1.0,-0.9918588873812755,1.0,1.5485709462234536
10.0,1.0,-0.9909543193125283,1.0,1.5504475470688206
11.0,1.0,-0.9900497512437811,1.0,1.4931082062966077
12.0,1.0,-0.989145183175034,1.0,1.4060708926641758
13.0,1.0,-0.9882406151062868,1.0,1.3124670821013138
14.0,1.0,-0.9873360470375395,1.0,1.2270590581985625
15.0,1.0,-0.9864314789687924,1.0,1.1569944670428836
16.0,1.0,-0.9855269109000452,1.0,1.103885912161946
17.0,1.0,-0.984622342831298,1.0,1.0660969971947978
18.0,1.0,-0.9837177747625508,1.0,1.04059224726336
19.0,1.0,-0.9828132066938037,1.0,1.024141641926752
20.0,1.0,-0.9819086386250565,1.0,1.0139435033434574
21.0,1.0,-0.9810040705563093,1.0,1.0078396744243987
22.0,1.0,-0.9800995024875622,1.0,1.0042994390465931
23.0,1.0,-0.979194934418815,1.0,1.002303479228654
24.0,1.0,-0.9782903663500678,1.0,1.001206747767553
25.0,1.0,-0.9773857982813207,1.0,1.0006180980362542
26.0,1.0,-0.9764812302125735,1.0,1.000308874685697
27.0,1.0,-0.9755766621438263,1.0,1.00014962037378
28.0,1.0,-0.9746720940750792,1.0,1.0000690879642506
29.0,1.0,-0.973767526006332,1.0,1.0000290479953222
30.0,1.0,-0.9728629579375848,1.0,1.00000945141189
31.0,1.0,-0.9719583898688376,1.0,1.0
32.0,1.0,-0.9710538218000905,1.0,1.0
33.0,1.0,-0.9701492537313433,1.0,1.0
34.0,1.0,-0.9692446856625961,1.0,1.0
35.0,1.0,-0.968340117593849,1.0,1.0
36.0,1.0,-0.9674355495251018,1.0,1.0
37.0,1.0,-0.9665309814563546,1.0,1.0
38.0,1.0,-0.9656264133876075,1.0,1.0
39.0,1.0,-0.9647218453188603,1.0,1.0
40.0,1.0,-0.963817277250113,1.0,1.0
41.0,1.0,-0.9629127091813658,1.0,1.0
42.0,1.0,-0.9620081411126187,1.0,1.0
43.0,1.0,-0.9611035730438715,1.0,1.0
44.0,1.0,-0.9601990049751243,1.0,1.0
45.0,1.0,-0.9592944369063772,1.0,1.0
46.0,1.0,-0.95838986883763,1.0,1.0
47.0,1.0,-0.9574853007688828,1.0,1.0
48.0,1.0,-0.9565807327001357,1.0,1.0
49.0,1.0,-0.9556761646313885,1.0,1.0
50.0,1.0,-0.9547715965626413,1.0,1.0
51.0,1.0,-0.9538670284938942,1.0,1.0
52.0,1.0,-0.952962460425147,1.0,1.0
53.0,1.0,-0.9520578923563998,1.0,1.0
54.0,1.0,-0.9511533242876526,1.0,1.0
55.0,1.0,-0.9502487562189055,1.0,1.0
56.0,1.0,-0.9493441881501583,1.0,1.0
57.0,1.0,-0.9484396200814111,1.0,1.0
58.0,1.0,-0.947535052012664,1.0,1.0
59.0,1.0,-0.9466304839439168,1.0,1.0
60.0,1.0,-0.9457259158751696,1.0,1.0
61.0,1.0,-0.9448213478064225,1.0,1.0
62.0,1.0,-0.9439167797376753,1.0,1.0
63.0,1.0,-0.9430122116689281,1.0,1.0
64.0,1.0,-0.942107643600181,1.0,1.0
